Date,Open,High,Low,Last,Volume,PE
20060223,11.77,11.77,11.77,11.77,0,NaN
20060224,11.77,16.72,11.77,15.77,78521549,NaN
20060227,15.77,16.29,15.76,16.13,18404600,NaN
20060228,16.02,16.24,15.49,16.04,9699400,NaN
20060301,16.04,16.93,16.04,16.65,3748300,NaN
20060302,16.81,16.99,16.69,16.93,3410700,NaN
20060303,16.83,16.99,16.55,16.65,2939400,NaN
20060306,16.94,16.94,16.5,16.66,1511700,NaN
20060307,16.45,16.62,16.38,16.47,1979300,NaN
20060308,16.61,16.65,16.5,16.5,1640300,NaN
20060309,16.56,16.97,16.56,16.89,5212800,NaN
20060310,16.92,16.92,16.71,16.88,447800,NaN
20060313,16.88,17.63,16.88,17.36,265900,NaN
20060314,17.31,17.41,17.15,17.39,2367700,NaN
20060315,17.41,18.43,17.41,18.18,2185400,NaN
20060316,18.11,18.68,18.11,18.64,1425000,NaN
20060317,18.69,18.92,18.37,18.69,336100,NaN
20060320,18.8,19.12,18.69,19.12,361800,NaN
20060322,19.12,19.74,19.12,19.7,928700,NaN
20060323,19.7,19.76,19.44,19.6,913500,NaN
20060324,19.76,19.76,18.69,18.86,923900,NaN
20060327,18.69,18.69,18.05,18.05,643300,NaN
20060328,18,18.99,18,18.93,948500,NaN
20060329,19.18,19.66,18.46,19.18,1266800,NaN
20060330,19.18,19.18,18.64,18.69,713000,NaN
20060331,18.69,18.8,18.37,18.56,580100,NaN
20060403,18.56,18.72,18.42,18.42,201600,NaN
20060404,18.32,18.46,18.05,18.26,845100,NaN
20060405,18.08,18.35,18.06,18.34,618800,NaN
20060406,18.34,18.4,18.27,18.36,698000,NaN
20060407,18.53,18.77,18.53,18.67,534700,NaN
20060410,18.37,18.45,18.37,18.4,50000,NaN
20060411,18.16,18.16,17.44,17.52,807400,NaN
20060412,17.68,17.73,17.09,17.28,193600,NaN
20060417,17.31,17.89,17.31,17.33,223700,NaN
20060418,17.09,17.68,17.09,17.53,156600,NaN
20060419,17.71,17.8,17.71,17.8,222500,NaN
20060420,17.81,17.94,17.81,17.89,178500,NaN
20060421,17.95,18.37,17.95,18.17,349300,NaN
20060424,18.22,18.48,18.22,18.48,207500,NaN
20060425,18.64,18.64,18.48,18.58,246500,NaN
20060426,18.64,18.91,18.64,18.82,707400,NaN
20060427,18.82,20.3,18.8,20.23,2355100,NaN
20060428,20.3,20.3,19.56,19.61,736800,NaN
20060502,20.14,21.55,20.14,21.06,815300,NaN
20060503,21.2,21.5,20.98,21.5,1028200,NaN
20060504,22.07,22.07,21.41,21.53,434000,NaN
20060505,21.53,21.85,21.52,21.7,275400,NaN
20060508,21.7,22.9,21.7,22.35,310900,NaN
20060509,22.56,23.07,22.56,22.77,433300,NaN
20060510,22.77,22.82,22.63,22.82,370800,NaN
20060511,23.01,23.23,22.35,22.37,240100,NaN
20060512,22.01,22.01,21.41,21.89,130100,NaN
20060515,21.89,22.02,21.74,21.99,292400,NaN
20060516,22.12,22.2,21.58,21.83,40100,NaN
20060517,21.58,21.85,20.89,21.17,695700,NaN
20060518,21.17,21.38,20.75,20.75,342000,NaN
20060519,20.75,20.78,20.14,20.78,335000,NaN
20060522,20.8,20.8,19.63,19.91,487000,NaN
20060523,19.91,20.3,19.91,20.29,122900,NaN
20060524,20.29,20.29,19.49,19.84,334900,NaN
20060525,20.19,20.85,20.14,20.73,202800,NaN
20060526,20.73,21.11,20.73,20.8,211200,NaN
20060529,20.8,20.8,20.22,20.22,500,NaN
20060530,20.86,20.97,20.63,20.74,255500,NaN
20060531,20.41,20.65,20.24,20.64,238200,NaN
20060601,20.8,20.88,20.06,20.15,477100,NaN
20060602,20.42,20.67,20.42,20.61,108100,NaN
20060605,20.31,20.31,19.75,19.75,278300,NaN
20060606,20.61,20.61,19.2,19.62,447600,NaN
20060607,19.31,19.46,19.31,19.46,80700,NaN
20060608,19.3,20.28,18.46,19.69,494400,NaN
20060609,19.76,19.88,18.76,18.98,273900,NaN
20060612,18.76,18.93,18.6,18.61,233600,NaN
20060613,18.61,19.07,18.61,18.94,570900,NaN
20060614,18.73,18.73,17.74,17.85,163200,NaN
20060615,18.34,18.93,18.34,18.93,608900,NaN
20060616,18.77,19.21,18.77,19.21,154800,NaN
20060619,19.2,19.2,18.76,18.76,29200,NaN
20060620,18.38,18.49,18.32,18.4,299000,NaN
20060621,18.45,19.2,18.45,18.71,298600,NaN
20060622,18.8,18.8,18.61,18.76,111900,NaN
20060623,18.92,19.01,18.92,19.01,23100,NaN
20060626,19.44,19.47,19.2,19.42,81200,NaN
20060627,19.42,19.51,19.12,19.29,355500,NaN
20060628,18.77,19.12,18.77,19.09,4100,NaN
20060629,19.09,19.42,18.98,19.41,183300,NaN
20060630,19.41,20.31,19.41,20.2,439600,NaN
20060703,20.42,21.21,20.28,20.64,500000,NaN
20060704,20.76,21.58,20.76,21.41,48000,NaN
20060705,21.11,21.11,20.28,20.36,265800,NaN
20060706,20.46,20.55,20.14,20.24,875300,NaN
20060707,20.2,20.29,19.98,20.19,130800,NaN
20060710,20.4,20.42,20.24,20.24,22700,NaN
20060711,20.03,20.05,19.62,19.89,123500,NaN
20060712,19.89,19.89,19.45,19.45,54800,NaN
20060713,18.98,19.09,18.86,19.01,402200,NaN
20060714,18.54,18.57,18.43,18.51,178400,NaN
20060717,18.65,18.86,18.65,18.71,68300,NaN
20060718,18.89,18.93,18.31,18.49,355200,NaN
20060719,18.49,18.98,18.49,18.66,736600,NaN
20060720,18.86,18.86,18.66,18.78,95400,NaN
20060721,18.76,18.76,18.49,18.49,45900,NaN
20060724,18.67,18.93,18.54,18.57,326200,NaN
20060725,18.26,18.34,18.1,18.17,169400,NaN
20060726,18.15,18.15,17.26,17.65,455800,NaN
20060727,17.65,18.14,17.44,17.96,536300,NaN
20060728,17.99,18.33,17.96,17.97,533500,NaN
20060731,17.75,18.14,17.63,17.98,317300,NaN
20060801,18.04,18.54,18.04,18.43,384200,NaN
20060802,18.4,18.55,18.27,18.36,354600,NaN
20060803,18.37,18.43,18.18,18.34,10400,NaN
20060804,18.45,19.02,18.3,18.56,419700,NaN
20060807,18.73,18.77,18.7,18.73,167700,NaN
20060808,18.73,18.85,18.49,18.7,391300,NaN
20060809,18.69,18.69,18.11,18.19,114500,NaN
20060810,17.97,18.76,17.97,18.74,96300,NaN
20060811,18.51,18.51,17.96,18.04,163100,NaN
20060814,18.06,18.5,18.06,18.4,154600,NaN
20060815,18.6,18.75,18.57,18.58,180900,NaN
20060816,18.75,19.11,18.62,18.96,712000,NaN
