Date,Open,High,Low,Last,Volume,PE
19940907,4.22,4.22,4.2,4.22,482000,#N/A N/A
19940908,4.22,4.22,4.22,4.22,25000,#N/A N/A
19940909,4.22,4.22,4.22,4.22,1455,#N/A N/A
19940912,4.22,4.22,4.2,4.2,235000,#N/A N/A
19940913,4.19,4.19,4.18,4.19,820000,#N/A N/A
19940914,4.19,4.22,4.19,4.22,1000000,#N/A N/A
19940915,4.28,4.29,4.26,4.29,710000,#N/A N/A
19940919,4.27,4.27,4.23,4.24,1200000,#N/A N/A
19940920,4.24,4.32,4.24,4.32,495000,#N/A N/A
19940921,4.32,4.37,4.32,4.37,104000,#N/A N/A
19940922,4.39,4.46,4.39,4.46,795000,#N/A N/A
19940923,4.46,4.5,4.46,4.5,380918,#N/A N/A
19940926,4.52,4.53,4.52,4.53,110000,#N/A N/A
19940927,4.53,4.54,4.53,4.53,92582,#N/A N/A
19940928,4.46,4.46,4.37,4.41,120000,#N/A N/A
19940929,4.39,4.39,4.36,4.37,835014,#N/A N/A
19940930,4.37,4.37,4.37,4.37,530014,#N/A N/A
19941003,4.46,4.46,4.46,4.46,#N/A N/A,#N/A N/A
19941004,4.5,4.7,4.5,4.7,121053,#N/A N/A
19941005,4.73,4.94,4.73,4.94,257500,#N/A N/A
19941006,4.94,4.94,4.91,4.91,270719,#N/A N/A
19941007,4.9,4.9,4.9,4.9,10000,#N/A N/A
19941010,4.9,4.9,4.9,4.9,#N/A N/A,#N/A N/A
19941011,4.85,4.9,4.79,4.8,270000,#N/A N/A
19941012,4.8,4.87,4.8,4.87,206877,#N/A N/A
19941013,4.89,4.9,4.87,4.87,520000,#N/A N/A
19941014,4.87,4.87,4.78,4.78,53000,#N/A N/A
19941017,4.69,4.73,4.69,4.73,110000,#N/A N/A
19941018,4.74,4.82,4.74,4.82,31300,#N/A N/A
19941019,4.96,5.01,4.96,5,195000,#N/A N/A
19941020,5,5.05,5,5.05,94200,#N/A N/A
19941021,5.05,5.3,5.05,5.3,2830000,#N/A N/A
19941024,5.28,5.28,5.19,5.19,110000,#N/A N/A
19941025,5.1,5.1,5.02,5.05,111000,#N/A N/A
19941026,5.05,5.14,5.05,5.14,80300,#N/A N/A
19941027,5.32,5.35,5.32,5.32,45000,#N/A N/A
