Date,Open,High,Low,Last,Volume,PE
19990625,2.16,2.18,2.16,2.16,100191571,NaN
19990628,2.16,2.16,2.04,2.04,819939,NaN
19990629,2.01,2.06,1.96,2.02,1648245,NaN
19990630,1.95,2.04,1.94,2.04,1677529,NaN
19990701,1.97,2.03,1.97,1.99,497820,NaN
19990705,1.94,1.94,1.94,1.94,112951,NaN
19990706,1.94,1.94,1.9,1.94,397420,NaN
19990707,1.94,1.94,1.9,1.94,351403,NaN
19990708,1.91,1.91,1.91,1.91,37650,NaN
19990709,1.9,1.9,1.9,1.9,129684,NaN
19990712,1.9,1.9,1.9,1.9,20917,NaN
19990714,1.79,1.9,1.79,1.82,911973,NaN
19990715,1.82,1.82,1.82,1.82,455987,NaN
19990716,1.84,1.86,1.84,1.86,87851,NaN
19990719,1.84,1.84,1.84,1.84,196618,NaN
19990720,1.84,1.92,1.84,1.92,389053,NaN
19990721,1.92,1.97,1.92,1.97,71117,NaN
19990722,1.96,1.96,1.96,1.96,230085,NaN
19990723,1.96,1.96,1.96,1.96,16733,NaN
19990726,1.96,1.96,1.96,1.96,0,NaN
19990727,1.87,2.01,1.87,2.01,326302,NaN
19990728,2.01,2.06,2.01,2.06,343036,NaN
19990729,2.06,2.06,2.06,2.06,0,NaN
19990730,2.12,2.13,2.12,2.13,347219,NaN
19990802,2.13,2.13,2.13,2.13,41834,NaN
19990804,2.04,2.06,2.04,2.06,435070,NaN
19990811,1.75,1.95,1.75,1.95,8367,NaN
19990812,1.96,2.03,1.96,2.03,836673,NaN
19990813,2.03,2.03,2.03,2.03,418336,NaN
19990816,2.03,2.03,2.03,2.03,836673,NaN
19990819,2.02,2.03,2.02,2.03,62750,NaN
19990820,2.03,2.03,2.03,2.03,16733,NaN
19990825,1.94,1.94,1.94,1.94,41834,NaN
19990826,1.91,1.99,1.91,1.99,631688,NaN
19990827,1.95,1.96,1.95,1.96,426703,NaN
19990914,1.96,1.96,1.96,1.96,673522,NaN
19990917,1.87,1.87,1.87,1.87,150601,NaN
19991004,1.87,1.87,1.87,1.87,1522745,NaN
19991011,1.87,1.87,1.87,1.87,405786,NaN
19991018,1.87,1.87,1.84,1.87,1464177,NaN
19991021,1.87,1.87,1.87,1.87,326302,NaN
19991025,1.87,1.87,1.87,1.87,502004,NaN
19991028,1.87,1.87,1.87,1.87,644238,NaN
19991029,1.87,1.87,1.87,1.87,171518,NaN
19991101,1.87,1.87,1.87,1.87,125501,NaN
19991103,1.87,1.96,1.87,1.96,799023,NaN
19991108,1.87,1.87,1.87,1.87,376503,NaN
19991111,1.87,1.87,1.87,1.87,2129332,NaN
19991118,1.87,1.87,1.87,1.87,1451627,NaN
19991124,1.87,1.87,1.87,1.87,355586,NaN
19991126,1.87,1.87,1.87,1.87,393236,NaN
19991129,1.87,1.96,1.87,1.96,171518,NaN
19991202,1.87,1.87,1.87,1.87,146418,NaN
19991203,1.87,2.02,1.87,2.02,384869,NaN
19991207,1.96,1.96,1.96,1.96,138051,NaN
19991209,1.96,1.96,1.96,1.96,41834,NaN
19991215,1.96,1.96,1.96,1.96,16733,NaN
19991216,1.96,1.96,1.96,1.96,4183,NaN
19991221,2.03,2.03,2.03,2.03,50200,NaN
20000118,2.01,2.03,2.01,2.03,8367,5.7946
20000211,1.87,1.87,1.87,1.87,58567,5.3563
20000301,1.7,1.7,1.7,1.7,87851,4.8597
20000302,1.62,1.62,1.53,1.53,606588,4.3825
20000303,1.53,1.53,1.53,1.53,146418,4.3825
20000306,1.53,1.53,1.53,1.53,669338,4.3825
20000307,1.53,1.53,1.53,1.53,125501,4.3825
20000308,1.53,1.53,1.53,1.53,3790128,4.3825
20000309,1.52,1.52,1.52,1.52,397420,4.3338
20000310,1.53,1.57,1.53,1.55,702805,4.4214
20000313,1.53,1.53,1.53,1.53,564754,4.3825
20000314,1.53,1.53,1.52,1.52,836673,4.3338
20000316,1.52,1.69,1.52,1.69,54384,4.8207
20000317,1.69,1.69,1.67,1.67,8367,4.772
20000322,1.65,1.67,1.65,1.67,179885,4.772
20000323,1.67,1.67,1.67,1.67,209168,4.772
20000328,1.67,1.67,1.67,1.67,20917,4.772
20000329,1.67,1.67,1.67,1.67,4183,4.772
20000330,1.69,1.69,1.69,1.69,58567,4.8207
20000331,1.7,1.72,1.7,1.72,121318,4.8997
20000404,1.67,1.67,1.67,1.67,33467,4.7542
20000406,1.67,1.67,1.67,1.67,4183,4.7542
20000413,1.7,1.7,1.7,1.7,8367,4.8512
20000414,1.7,1.7,1.7,1.7,0,4.8512
20000502,1.7,1.7,1.7,1.7,8366,4.8517
20000503,1.62,1.62,1.62,1.62,20915,4.6091
20000508,1.62,1.62,1.53,1.53,92024,4.3665
20000509,1.54,1.55,1.53,1.53,100390,4.3665
20000510,1.54,1.54,1.53,1.53,104573,4.3665
20000511,1.53,1.55,1.53,1.55,121305,4.4053
20000512,1.53,1.53,1.53,1.53,179865,4.3665
20000515,1.53,1.53,1.52,1.53,133853,4.3665
20000516,1.55,1.6,1.54,1.6,242609,4.5606
20000518,1.6,1.6,1.6,1.6,83658,4.5606
20000519,1.57,1.57,1.57,1.57,209146,4.483
20000522,1.56,1.56,1.56,1.56,870046,4.4345
20000523,1.53,1.53,1.53,1.53,41829,4.3665
20000524,1.53,1.54,1.53,1.54,125487,4.3956
20000525,1.53,1.53,1.53,1.53,41829,4.3665
20000526,1.53,1.54,1.53,1.54,167317,4.3762
20000530,1.54,1.55,1.54,1.55,167317,4.415
20000531,1.53,1.53,1.53,1.53,41829,4.3665
20000601,1.52,1.53,1.5,1.53,184048,4.3665
20000602,1.52,1.53,1.52,1.53,100390,4.3665
20000605,1.53,1.54,1.53,1.54,41829,4.3956
20000613,1.52,1.53,1.52,1.53,619071,4.3665
20000628,1.48,1.53,1.48,1.51,288621,4.2889
20000629,1.53,1.53,1.53,1.53,4183,4.3665
20000711,1.48,1.53,1.48,1.53,359731,4.5903
20000804,1.48,1.53,1.48,1.53,71110,4.5903
20000823,1.45,1.45,1.45,1.45,184048,4.3353
20000824,1.5,1.5,1.5,1.5,12549,4.4883
20000828,1.5,1.52,1.5,1.52,16732,4.5393
20000914,1.45,1.45,1.45,1.45,230060,4.3353
20000920,1.45,1.45,1.45,1.45,309536,4.3353
20001023,1.44,1.44,1.44,1.44,4183,4.1342
20001103,1.43,1.43,1.43,1.43,83658,4.0952
20001107,1.36,1.36,1.36,1.36,41829,3.9002
20001109,1.36,1.36,1.36,1.36,25097,3.9002
20001113,1.23,1.36,1.23,1.36,133853,3.9002
20001114,1.23,1.23,1.23,1.23,75292,3.5101
20001116,1.23,1.23,1.23,1.23,41829,3.5101
20001128,1.17,1.17,1.17,1.17,58561,3.3639
20001227,1.16,1.16,1.16,1.16,4183,3.3151
20001229,1.05,1.05,1.05,1.05,20915,4.0339
20010108,1.02,1.02,1.02,1.02,133853,3.9419
20010109,0.99,0.99,0.99,0.99,20915,3.8105
20010110,0.95,0.95,0.95,0.95,12549,3.6791
20010112,0.94,0.99,0.94,0.99,29280,3.8105
20010115,0.95,0.95,0.95,0.95,8366,3.6791
20010116,0.95,0.95,0.92,0.92,96207,3.5477
20010119,0.89,0.95,0.89,0.95,104573,3.6791
20010122,0.99,0.99,0.99,0.99,71110,3.8105
20010123,1.02,1.02,1.02,1.02,41829,3.9419
20010125,1.02,1.04,1.02,1.04,16732,4.0076
20010129,1.02,1.04,1.02,1.04,158951,4.0076
20010207,1.04,1.04,1.04,1.04,83658,3.9945
20010208,1.02,1.04,1.02,1.02,255158,3.9419
20010209,0.99,0.99,0.99,0.99,41829,3.8105
20010213,0.97,0.97,0.94,0.94,87841,3.6134
20010214,0.94,0.94,0.92,0.92,196597,3.5477
20010215,0.92,0.92,0.92,0.92,62744,3.5477
20010216,0.92,0.92,0.92,0.92,58561,3.5477
20010221,0.85,0.85,0.85,0.85,58561,3.2849
20010223,0.8,0.8,0.8,0.8,46012,3.0879
20010226,0.77,0.77,0.77,0.77,12549,2.9565
20010227,0.73,0.73,0.73,0.73,16732,2.8251
20010301,0.73,0.73,0.73,0.73,83658,2.8251
20010305,0.68,0.73,0.68,0.73,96207,2.8251
20010306,0.73,0.73,0.73,0.73,121305,2.8251
20010307,0.73,0.73,0.73,0.73,2510,2.8251
20010327,0.77,0.77,0.77,0.77,117122,2.9565
20010417,0.8,0.8,0.79,0.79,194924,3.3668
20010502,0.72,0.72,0.72,0.72,102900,3.0772
20010503,0.71,0.72,0.71,0.72,865863,3.041
20010504,0.71,0.71,0.68,0.68,71110,2.8962
20010509,0.72,0.72,0.7,0.7,66927,2.9686
20010516,0.72,0.72,0.7,0.7,798937,2.9686
20010517,0.7,0.72,0.7,0.71,995534,3.0265
20010518,0.7,0.7,0.68,0.7,409926,2.9686
20010521,0.68,0.68,0.68,0.68,271889,2.8962
20010522,0.68,0.68,0.68,0.68,418291,2.8962
20010523,0.7,0.7,0.7,0.7,4438073,2.9686
20010524,0.7,0.7,0.7,0.7,250975,2.9686
20010525,0.7,0.7,0.7,0.7,16732,2.9686
20010530,0.68,0.68,0.68,0.68,12549,2.8962
20010531,0.69,0.69,0.69,0.69,75292,2.9324
20010604,0.69,0.69,0.69,0.69,104573,2.9324
20010605,0.69,0.69,0.69,0.69,1422191,2.9324
20010613,0.71,0.71,0.7,0.7,230060,2.9686
20010614,0.69,0.69,0.69,0.69,12549,2.9324
20010615,0.69,0.69,0.69,0.69,836583,2.9324
20010618,0.69,0.69,0.69,0.69,225877,2.9324
20010619,0.68,0.68,0.68,0.68,8366,2.8962
20010626,0.68,0.68,0.68,0.68,31372,2.8962
20010702,0.68,0.68,0.68,0.68,8366,3.3549
20010703,0.75,0.75,0.75,0.75,4183,3.6729
20010709,0.75,0.75,0.75,0.75,1255,3.6729
20010710,0.75,0.75,0.75,0.75,0,3.6729
20010711,0.74,0.74,0.74,0.74,20915,3.6192
20010716,0.74,0.74,0.74,0.74,182793,3.6192
20010717,0.74,0.74,0.74,0.74,209146,3.6192
20010814,0.74,0.74,0.74,0.74,271889,3.6192
20010815,0.74,0.74,0.74,0.74,62744,3.6192
20010828,0.74,0.74,0.74,0.74,33463,3.6192
20011004,0.74,0.74,0.74,0.74,16732,8.9939
20011026,0.74,0.74,0.74,0.74,25097,8.9939
20011105,0.7,0.7,0.7,0.7,62744,8.5442
20011112,0.7,0.7,0.7,0.7,83658,8.5442
20011115,0.68,0.68,0.68,0.68,62744,8.3194
20011206,0.66,0.66,0.66,0.66,41829,8.0945
20011207,0.66,0.66,0.64,0.64,92024,7.8697
20011214,0.64,0.64,0.64,0.64,125487,7.8697
20020102,0.64,0.64,0.64,0.64,121305,9.2515
20020104,0.64,0.64,0.63,0.63,96207,8.9872
20020108,0.63,0.63,0.63,0.63,62744,8.9872
20020109,0.63,0.63,0.63,0.63,75292,8.9872
20020111,0.61,0.61,0.61,0.61,29280,8.7229
20020114,0.61,0.61,0.61,0.61,46012,8.7229
20020115,0.63,0.63,0.63,0.63,83658,8.9872
20020118,0.63,0.63,0.63,0.63,50195,8.9872
20020121,0.61,0.61,0.61,0.61,58561,8.7229
20020124,0.63,0.63,0.63,0.63,20915,8.9872
20020125,0.63,0.63,0.63,0.63,41829,8.9872
20020128,0.63,0.63,0.63,0.63,104573,8.9872
20020131,0.66,0.66,0.66,0.66,83658,9.5159
20020201,0.66,0.66,0.66,0.66,130089,9.5159
20020204,0.64,0.65,0.64,0.65,37646,9.3837
20020206,0.65,0.65,0.65,0.65,418,9.3837
20020208,0.63,0.63,0.63,0.63,41411,8.9872
20020211,0.63,0.63,0.63,0.63,33463,9.0136
20020212,0.66,0.72,0.66,0.72,125487,10.3089
20020220,0.72,0.72,0.72,0.72,418,10.3089
20020226,0.77,0.77,0.77,0.77,20915,11.1018
20020228,0.83,0.83,0.83,0.83,1639703,11.9213
20020301,0.86,0.88,0.86,0.88,25097,12.6878
20020304,0.9,0.94,0.9,0.94,47685,13.4808
20020306,0.9,0.92,0.9,0.92,197015,13.2165
20020308,0.92,0.97,0.92,0.96,117122,13.8509
20020312,0.96,0.97,0.96,0.97,225877,13.8773
20020313,0.97,0.97,0.97,0.97,125487,13.8773
20020314,0.97,0.97,0.96,0.96,150585,13.7451
20020315,0.98,0.98,0.98,0.98,44757,14.0095
20020318,0.97,0.98,0.97,0.98,29280,14.0095
20020320,0.97,0.97,0.97,0.97,188231,13.8773
20020322,0.97,0.97,0.97,0.97,13804,13.8773
20020327,0.97,0.97,0.96,0.96,62744,8.3791
20020401,0.96,0.96,0.96,0.96,2928,8.3791
20020408,0.96,0.96,0.96,0.96,50195,8.3791
20020409,0.96,0.96,0.96,0.96,837,8.363
20020416,0.94,0.96,0.94,0.96,105828,8.3791
20020417,0.96,0.96,0.96,0.96,422474,8.3791
20020422,0.91,0.91,0.91,0.91,67345,7.9762
20020423,0.91,0.91,0.91,0.91,61907,7.9762
20020424,0.99,1.01,0.99,1.01,83658,8.8625
20020425,1.05,1.1,1.05,1.05,259341,9.1848
20020426,1.15,1.15,1.15,1.15,79475,10.071
20020429,1.15,1.2,1.15,1.2,188231,10.4739
20020430,1.2,1.2,1.2,1.2,8366,10.4739
20020502,1.29,1.38,1.29,1.38,638731,12.0852
20020503,1.4,1.4,1.4,1.4,418,12.2302
20020506,1.4,1.47,1.4,1.47,426657,12.8909
20020509,1.45,1.45,1.45,1.45,4183,12.7136
20020510,1.34,1.34,1.34,1.34,246792,11.7629
20020514,1.38,1.42,1.38,1.4,1774392,12.2463
20020515,1.42,1.42,1.42,1.42,418,12.463
20020516,1.45,1.45,1.43,1.45,208727,12.7073
20020517,1.47,1.47,1.47,1.47,418,12.8703
20020522,1.41,1.41,1.38,1.38,266452,12.0557
20020523,1.36,1.36,1.36,1.36,209146,11.8928
20020524,1.4,1.4,1.4,1.4,52286,12.2838
20020527,1.36,1.4,1.36,1.36,263105,11.8928
20020528,1.36,1.36,1.36,1.36,836583,11.8928
20020603,1.32,1.32,1.32,1.32,209146,11.5669
20020604,1.28,1.28,1.28,1.28,199525,11.2411
20020605,1.31,1.31,1.26,1.26,418291,10.9967
20020606,1.27,1.28,1.27,1.28,393194,11.2411
20020607,1.29,1.29,1.29,1.29,83658,11.3226
