Date,Open,High,Low,Last,Volume,PE
20010207,1.18,1.2,1.15,1.18,192583200,NaN
20010208,1.18,1.25,1.18,1.23,206176200,NaN
20010209,1.21,1.34,1.2,1.32,121872600,NaN
20010212,1.32,1.35,1.32,1.34,88036200,NaN
20010213,1.33,1.33,1.26,1.26,116344800,NaN
20010214,1.26,1.26,1.12,1.17,321788400,NaN
20010215,1.18,1.2,1.14,1.16,127177200,NaN
20010216,1.15,1.21,1.1,1.18,195699000,NaN
20010219,1.17,1.18,1.15,1.18,67884600,NaN
20010220,1.18,1.18,1.14,1.15,104941800,NaN
20010221,1.13,1.13,1.08,1.11,153939600,NaN
20010222,1.09,1.11,1.07,1.1,135712200,NaN
20010223,1.09,1.1,1.03,1.05,162784800,NaN
20010226,1.07,1.07,1.04,1.06,84422400,NaN
20010227,1.06,1.06,1.03,1.05,91646400,NaN
20010228,1.05,1.05,1.02,1.03,101217600,NaN
20010301,1.01,1.02,0.99,1.01,158359200,NaN
20010302,1,1,0.97,0.99,150135000,NaN
20010305,1,1.01,0.99,1,73911000,NaN
20010306,1.02,1.04,1.02,1.04,156198600,NaN
20010307,1.05,1.05,1.02,1.02,83908200,NaN
20010308,1.03,1.03,1.02,1.03,77192400,NaN
20010309,1.02,1.06,1.02,1.03,73136400,NaN
20010312,1.01,1.01,0.97,0.98,60590400,NaN
20010313,0.99,0.99,0.96,0.97,68313000,NaN
20010314,0.96,0.96,0.91,0.92,110773800,NaN
20010315,0.93,0.94,0.9,0.9,76140600,NaN
20010316,0.9,0.95,0.9,0.93,107158800,NaN
20010319,0.93,0.98,0.92,0.97,97464000,NaN
20010320,1,1.01,0.91,0.92,159459000,NaN
20010322,0.9,0.9,0.84,0.87,149730600,NaN
20010323,0.88,0.89,0.84,0.85,80394600,NaN
20010326,0.86,0.86,0.84,0.84,41150400,NaN
20010327,0.84,0.85,0.83,0.84,101047800,NaN
20010328,0.83,0.84,0.83,0.83,59722800,NaN
20010329,0.83,0.83,0.79,0.8,103798200,NaN
20010330,0.79,0.84,0.79,0.82,114856800,NaN
20010402,0.83,0.85,0.82,0.82,116013000,NaN
20010403,0.82,0.82,0.81,0.81,98130600,NaN
20010404,0.82,0.82,0.8,0.81,148413600,NaN
20010405,0.82,0.86,0.82,0.85,182894400,NaN
20010406,0.83,0.87,0.83,0.86,158908200,NaN
20010409,0.86,0.87,0.86,0.86,164788800,NaN
20010410,0.87,0.9,0.87,0.9,113260200,NaN
20010411,0.9,0.92,0.9,0.91,117319200,NaN
20010416,0.9,0.92,0.9,0.91,127732800,NaN
20010417,0.91,0.93,0.9,0.92,181254600,NaN
20010418,0.93,0.96,0.92,0.93,319878000,NaN
20010419,0.92,0.94,0.92,0.93,278381400,NaN
20010420,0.93,0.93,0.88,0.89,188742000,NaN
20010423,0.87,0.91,0.87,0.91,79186800,NaN
20010424,0.93,0.93,0.91,0.92,215240400,NaN
20010425,0.92,0.93,0.92,0.93,119385000,NaN
20010426,0.93,0.98,0.93,0.98,216029400,NaN
20010427,0.98,1,0.98,0.99,100112400,NaN
20010430,1,1.02,1,1.01,115413600,NaN
20010502,1.02,1.08,1.02,1.07,134106600,NaN
20010503,1.07,1.1,1.07,1.09,104617800,NaN
20010504,1.07,1.08,1.07,1.08,86377800,NaN
20010507,1.08,1.09,1.08,1.09,69792000,NaN
20010508,1.09,1.09,1.06,1.06,99120000,NaN
20010509,1.05,1.09,1.04,1.08,190120800,NaN
20010510,1.08,1.1,1.08,1.09,123360600,NaN
20010511,1.09,1.1,1.07,1.09,98469600,NaN
20010514,1.09,1.09,1.07,1.08,77706000,NaN
20010515,1.08,1.09,1.07,1.07,134357400,NaN
20010516,1.06,1.1,1.06,1.09,125366400,NaN
20010517,1.1,1.11,1.09,1.09,156535200,NaN
20010518,1.1,1.17,1.1,1.14,186974400,NaN
20010521,1.14,1.17,1.14,1.16,145209600,NaN
20010522,1.17,1.19,1.16,1.18,121126200,NaN
20010523,1.19,1.24,1.18,1.2,162109800,NaN
20010524,1.2,1.23,1.16,1.17,114195600,NaN
20010525,1.17,1.19,1.14,1.16,51255000,NaN
20010528,1.17,1.18,1.16,1.16,8335800,NaN
20010529,1.16,1.16,1.13,1.14,95044800,NaN
20010530,1.13,1.13,1.11,1.11,52804800,NaN
20010531,1.11,1.12,1.11,1.12,110163000,NaN
20010601,1.12,1.13,1.11,1.13,86566200,NaN
20010604,1.13,1.13,1.11,1.13,92715600,NaN
20010605,1.13,1.15,1.13,1.15,119532000,NaN
20010606,1.15,1.21,1.15,1.21,164663400,NaN
