Date,Open,High,Low,Last,Volume,PE
19920102,0.59,0.59,0.59,0.59,160000,NaN
19920103,0.59,0.59,0.59,0.59,48000,NaN
19920106,0.59,0.6,0.59,0.6,288000,NaN
19920107,0.6,0.6,0.59,0.59,1216000,NaN
19920108,0.59,0.59,0.58,0.59,14779936,NaN
19920109,0.59,0.59,0.59,0.59,64000,NaN
19920110,0.59,0.59,0.59,0.59,128000,NaN
19920113,0.58,0.58,0.58,0.58,112000,NaN
19920114,0.58,0.58,0.57,0.57,7439984,NaN
19920115,0.57,0.57,0.57,0.57,594800,NaN
19920116,0.57,0.57,0.57,0.57,80000,NaN
19920117,0.56,0.56,0.56,0.56,1712000,NaN
19920120,0.56,0.56,0.56,0.56,16000,NaN
19920121,0.56,0.56,0.56,0.56,48000,NaN
19920122,0.54,0.54,0.54,0.54,152288,NaN
19920123,0.54,0.54,0.54,0.54,23552,NaN
19920124,0.54,0.54,0.54,0.54,912000,NaN
19920127,0.54,0.54,0.54,0.54,4585600,NaN
19920128,0.55,0.55,0.55,0.55,842656,NaN
19920129,0.55,0.57,0.55,0.57,6725344,NaN
19920130,0.59,0.6,0.59,0.6,4928000,NaN
19920131,0.6,0.63,0.6,0.63,3296000,NaN
19920203,0.64,0.64,0.64,0.64,448000,NaN
19920204,0.66,0.66,0.65,0.65,2560000,NaN
19920206,0.65,0.66,0.65,0.66,2560000,NaN
19920207,0.65,0.65,0.65,0.65,112000,NaN
19920210,0.66,0.66,0.66,0.66,944000,NaN
19920211,0.66,0.67,0.66,0.67,2640000,NaN
19920212,0.68,0.69,0.68,0.69,4224000,NaN
19920213,0.69,0.69,0.69,0.69,480000,NaN
19920214,0.68,0.68,0.68,0.68,1328016,NaN
19920217,0.68,0.68,0.68,0.68,80000,NaN
19920218,0.68,0.69,0.68,0.69,1680000,NaN
19920219,0.69,0.71,0.69,0.71,1456000,NaN
19920220,0.72,0.73,0.72,0.72,1696000,NaN
19920221,0.73,0.73,0.71,0.71,960000,NaN
19920224,0.71,0.71,0.71,0.71,384000,NaN
19920225,0.71,0.71,0.71,0.71,1920000,NaN
19920226,0.7,0.71,0.7,0.71,3360000,NaN
19920227,0.71,0.71,0.71,0.71,1184000,NaN
19920228,0.71,0.71,0.71,0.71,272000,NaN
19920302,0.69,0.71,0.69,0.69,3264000,NaN
19920303,0.69,0.69,0.69,0.69,1050720,NaN
19920304,0.69,0.69,0.67,0.67,128000,NaN
19920305,0.67,0.69,0.67,0.69,304000,NaN
19920306,0.67,0.67,0.66,0.66,1040000,NaN
19920309,0.66,0.66,0.66,0.66,1376000,NaN
19920310,0.66,0.66,0.66,0.66,80000,NaN
19920311,0.66,0.66,0.66,0.66,3026624,NaN
19920312,0.65,0.65,0.65,0.65,48000,NaN
19920313,0.65,0.65,0.65,0.65,96000,NaN
19920316,0.65,0.65,0.65,0.65,3104000,NaN
19920317,0.65,0.65,0.65,0.65,16000,NaN
19920318,0.64,0.64,0.64,0.64,176000,NaN
19920319,0.64,0.65,0.64,0.65,645152,NaN
19920320,0.67,0.67,0.67,0.67,368000,NaN
19920323,0.67,0.67,0.67,0.67,480000,NaN
19920324,0.67,0.67,0.66,0.67,1136000,NaN
19920325,0.67,0.67,0.65,0.65,192000,NaN
19920326,0.67,0.67,0.65,0.65,240000,NaN
19920327,0.65,0.65,0.65,0.65,48000,NaN
19920330,0.65,0.65,0.65,0.65,80000,NaN
19920331,0.65,0.67,0.65,0.66,480000,NaN
19920401,0.66,0.66,0.65,0.65,2048000,NaN
19920402,0.65,0.65,0.64,0.65,1520016,NaN
19920407,0.62,0.62,0.62,0.62,16000,NaN
19920408,0.58,0.59,0.58,0.59,576000,NaN
19920409,0.59,0.61,0.59,0.61,1680000,NaN
19920410,0.62,0.62,0.62,0.62,960000,NaN
19920413,0.62,0.62,0.62,0.62,16000,NaN
19920414,0.64,0.64,0.64,0.64,1325328,NaN
19920415,0.64,0.65,0.64,0.65,4871296,NaN
19920420,0.64,0.64,0.64,0.64,16000,NaN
19920421,0.64,0.64,0.64,0.64,336000,NaN
19920422,0.64,0.64,0.64,0.64,128000,NaN
19920423,0.64,0.64,0.64,0.64,77328,NaN
19920424,0.63,0.63,0.63,0.63,16000,NaN
19920427,0.62,0.62,0.61,0.61,144000,NaN
19920428,0.61,0.61,0.61,0.61,192000,NaN
19920429,0.61,0.64,0.61,0.64,1536000,NaN
19920430,0.64,0.64,0.64,0.64,640000,NaN
19920504,0.64,0.64,0.64,0.64,16000,NaN
19920506,0.64,0.64,0.64,0.64,608000,NaN
19920507,0.64,0.64,0.64,0.64,224000,NaN
19920508,0.63,0.63,0.63,0.63,208000,NaN
19920511,0.62,0.62,0.62,0.62,16000,NaN
19920512,0.61,0.61,0.61,0.61,3107552,NaN
19920513,0.61,0.61,0.6,0.6,564800,NaN
19920514,0.6,0.6,0.59,0.59,64000,NaN
19920515,0.59,0.59,0.59,0.59,224000,NaN
19920518,0.6,0.6,0.59,0.59,6320,NaN
19920519,0.58,0.58,0.58,0.58,122032,NaN
19920521,0.58,0.58,0.58,0.58,866768,NaN
19920522,0.59,0.6,0.59,0.6,64000,NaN
19920525,0.59,0.6,0.59,0.6,576000,NaN
19920526,0.62,0.62,0.62,0.62,500528,NaN
19920528,0.64,0.64,0.64,0.64,48000,NaN
19920529,0.64,0.64,0.64,0.64,256000,NaN
19920601,0.64,0.64,0.64,0.64,272000,NaN
19920603,0.63,0.63,0.63,0.63,22224,NaN
19920604,0.63,0.63,0.63,0.63,256000,NaN
