DDate,DOpen,DHigh,DLow,DClose,Volume,OpenInterest,NumericDeliveryMonth,UnAdjustedClose,?,??
19720516,1.159368205,1.159768205,1.159368205,1.159568205,48,16,197212,0.61980253,227,56
19720517,1.159968205,1.159968205,1.159768205,1.159968205,15,20,197212,0.62019369,210,167
19720518,1.159968205,1.160168205,1.159968205,1.160168205,8,21,197212,0.62038928,128,171
19720519,1.160168205,1.160168205,1.159768205,1.159968205,3,21,197212,0.62019369,135,183
19720522,1.160368205,1.160368205,1.159968205,1.160368205,3,23,197212,0.62058486,150,182
19720523,1.160168205,1.160168205,1.160168205,1.160168205,106,106,197303,0.62097603,266,330
19720524,1.160368205,1.160368205,1.160368205,1.160368205,109,115,197303,0.62117161,436,446
19720525,1.160568205,1.160568205,1.159768205,1.160168205,93,168,197303,0.62097603,276,506
19720526,1.160168205,1.160968205,1.160168205,1.160968205,7,173,197303,0.62175836,129,505
19720530,1.160968205,1.160968205,1.160568205,1.160568205,60,203,197303,0.62136719,289,584
19720531,1.160568205,1.160568205,1.160368205,1.160368205,151,354,197303,0.62117161,667,908
19720601,1.160168205,1.160368205,1.160168205,1.160168205,201,379,197303,0.62097603,464,888
19720602,1.159768205,1.159768205,1.159768205,1.159768205,56,409,197303,0.62058486,194,960
19720605,1.159968205,1.159968205,1.159968205,1.159968205,70,444,197303,0.62078044,332,1019
19720606,1.159768205,1.159768205,1.159568205,1.159768205,140,514,197303,0.62058486,304,1160
19720607,1.160168205,1.160168205,1.160168205,1.160168205,1,514,197303,0.62097603,37,1151
19720608,1.160568205,1.160568205,1.160368205,1.160368205,50,539,197303,0.62117161,85,1199
19720609,1.160368205,1.160368205,1.160368205,1.160368205,0,539,197303,0.62117161,95,1180
19720612,1.160768205,1.160768205,1.160768205,1.160768205,0,539,197303,0.62156277,112,1166
19720613,1.163268205,1.163468205,1.163268205,1.163468205,51,565,197303,0.62430094,191,1206
19720614,1.162668205,1.163268205,1.162668205,1.162868205,38,584,197303,0.62371419,96,1250
19720615,1.162868205,1.162868205,1.162868205,1.162868205,0,579,197303,0.62371419,36,1237
19720616,1.162068205,1.162068205,1.161468205,1.161868205,50,605,197303,0.62273627,137,1290
19720619,1.161468205,1.161468205,1.161468205,1.161468205,60,605,197303,0.62234511,135,1287
19720620,1.161168205,1.161168205,1.161168205,1.161168205,0,580,197303,0.62195394,6,1268
19720621,1.160768205,1.160768205,1.160168205,1.160168205,71,580,197303,0.62097603,128,1236
19720622,1.159168205,1.159968205,1.159168205,1.159968205,100,580,197303,0.62078044,163,1233
19720623,1.162668205,1.162668205,1.162668205,1.162668205,0,580,197303,0.6235186,49,1233
19720626,1.165468205,1.165468205,1.164668205,1.164668205,2,580,197303,0.62547443,8,1228
19720627,1.164068205,1.164068205,1.164068205,1.164068205,0,580,197303,0.62488769,212,1231
19720628,1.166768205,1.166768205,1.166768205,1.166768205,0,580,197303,0.62762585,869,1233
19720629,1.168768205,1.168768205,1.168768205,1.168768205,4,580,197303,0.62958168,47,1234
19720630,1.168768205,1.168768205,1.168768205,1.168768205,0,580,197303,0.62958168,37,1234
19720703,1.168768205,1.169368205,1.168768205,1.168968205,40,600,197303,0.62977726,89,1372
19720705,1.168968205,1.168968205,1.168968205,1.168968205,0,600,197303,0.62977726,16,1270
19720706,1.170868205,1.170868205,1.170868205,1.170868205,0,600,197303,0.63173309,12,1267
19720707,1.170868205,1.170868205,1.170868205,1.170868205,0,600,197303,0.63173309,190,1266
19720710,1.170168205,1.170168205,1.170168205,1.170168205,4,600,197303,0.63095076,30,1267
19720711,1.171668205,1.171668205,1.171668205,1.171668205,0,600,197303,0.63251542,36,1259
19720712,1.172468205,1.172468205,1.172468205,1.172468205,0,600,197303,0.63329775,35,1258
19720713,1.173668205,1.173668205,1.173668205,1.173668205,0,600,197303,0.63447125,18,1255
19720714,1.174768205,1.174768205,1.174768205,1.174768205,0,600,197303,0.63564475,30,1270
19720717,1.177568205,1.177568205,1.177568205,1.177568205,0,600,197303,0.63838291,9,1273
19720718,1.177568205,1.177568205,1.176568205,1.176568205,3,603,197303,0.637405,21,1270
19720719,1.174468205,1.174468205,1.173868205,1.173868205,102,605,197303,0.63466683,221,1277
19720720,1.173468205,1.173468205,1.172868205,1.172868205,2,606,197303,0.63368892,16,1280
19720721,1.171268205,1.171268205,1.171268205,1.171268205,0,606,197303,0.63212426,22,1289
19720724,1.171268205,1.171268205,1.169368205,1.169368205,50,606,197303,0.63016843,118,1285
